id;brand
106;-Kita-
38657;A1 PRO
33934;Abarth
105;AC
104;Acura
33416;Aiways
108;Aixam
103;Alfa Romeo
30765;Alke
112;Alpina
32350;Alpine
121;AMC
33698;Ariel
102;ARO
101;Asia
100;Aston Martin
99;Audi
15642;Austin Rover
27791;Austin-Healey
33053;Baic
38427;Barkas
38661;BAW
28319;BELLIER
98;Bentley
97;BMW
29863;Bolloré
38373;Bontu
19319;Briliance
19781;Bugatti
96;Buick
32287;BYD
95;Cadillac
37549;Casalini
36918;Caterham
33744;Cenntro
30429;Chatenet
38365;Chery
94;Chevrolet
93;Chrysler
92;Citroen
19829;Cobra
28897;Cupra
110;Dacia
91;Daewoo
25072;DAF
90;Daihatsu
16088;Datsun
38459;Deepal
18736;Delorean
19741;Desoto
30789;DFSK
89;Dodge
38625;Dongfeng
31682;Dorcen
16572;DR
29763;DS Automobiles
38665;e.GO
88;Eagle
31123;Excalibur
30795;FAW
87;Ferrari
86;Fiat
18542;Fisker
85;Ford
38621;Forthing
37914;Foton
109;GAZ
33954;GEELY
32616;Genesis
117;Geo
41;GMC
19091;Gonow
34099;GWM
84;Honda
33163;Hongqi
27783;Hudson
83;Hummer
82;Hyundai
33507;IFA
37152;Ineos
81;Infiniti
13507;International
80;Isuzu
125;Iveco
30005;JAC
79;Jaguar
38379;JDM
78;Jeep
32724;Jonway
33844;KGM
77;Kia
18799;Koenigsegg
31421;KTM
76;Lada
75;Lamborghini
74;Lancia
73;Land Rover
123;Landwind
33999;LDV
72;Lexus
18723;Ligier
71;Lincoln
37569;LIXIANG
70;Lotus
119;LuAZ
33181;Lucid
33720;"Lynk &amp; Co"
16535;Mahindra
30847;MAN
33936;Marcos Mantis
69;Maserati
35741;Maxus
111;Maybach
68;Mazda
24629;Mclaren
67;Mercedes-Benz
66;Mercury
65;MG
16127;Microcar
64;Mini
63;Mitsubishi
17392;Morgan
116;Moskvich
32450;MPM
33872;NIO
62;Nissan
16543;Norster
24732;Nysa
61;Oldsmobile
60;Opel
37104;Ozeta
18607;Packard
37164;Panther
37216;Paxster
59;Peugeot
30863;Piaggio
58;Plymouth
31465;Polestar
57;Pontiac
56;Porsche
55;Proton
34075;RAM
54;Renault
34257;Rivian
53;Rolls-Royce
13514;Roosevelt
52;Rover
38405;ROX
33107;RUNHORSE
51;Saab
31692;SAIC
107;Santana
50;Saturn
114;Scion
49;Seat
16546;Secma
30799;Seres
10861;Shuanghuan
33972;Silence
48;Skoda
38590;Skut
31676;Skywell
47;Smart
19699;Spartan
37633;Sportequipe
17593;Spyker
40;SsangYong
19711;Studebaker
46;Subaru
45;Suzuki
21501;Talbot
24569;Tartan
10863;Tata
120;Tatra
17577;Tazzari
19524;Tesla
24720;Think
38611;Tiudo
44;Toyota
21506;Trabant
124;Triumph
115;UAZ
15983;Vauxhall
17380;Venturi
43;Volkswagen
42;Volvo
36240;Voyah
10871;Wanderer
118;Wartburg
37537;XEV
38463;Xiaomi
33626;Xpeng
113;ZAZ
36061;Zeekr
37251;Zhidou
28623;Zimmer
