brand_id;brand_name;count
891;Мода і стиль;3368489
36;Дитячий світ;3192641
3;Запчастини;1710774
903;Хобі, відпочинок і спорт;1680317
539;Дитячий одяг;1626073
37;Електроніка;1322105
899;Дім і сад;1220139
2016;Жіночий одяг;1122029
2357;Автозапчастини;1060251
70;Одяг для дівчаток;832530
542;Дитяче взуття;641170
541;Одяг для хлопчиків;600905
53;Антикваріат / колекції;585500
2015;Жіноче взуття;580740
49;Книги / журнали;534990
2107;Чоловічий одяг;501156
543;Іграшки;417156
98;Аксесуари;408051
1;Нерухомість;374785
2843;Верхній одяг;359389
626;Колекціонування;315296
2014;Чоловіче взуття;305622
270;Шини, диски і колеса;294313
2365;Кузовні запчастини;271534
35;Тварини;268866
573;Спорт / відпочинок;251336
641;Будівництво / ремонт;245723
2841;Плаття;243544
38;Комп'ютери та комплектуючі;231530
667;Посуд / кухонне приладдя;228596
44;Телефони та аксесуари;224624
1532;Авто;224255
7;Бізнес та послуги;215316
540;Одяг для новонароджених;192638
1757;Квартири;192476
2687;Кросівки;188997
654;Інструменти;183796
2739;Верхній одяг;174699
552;Сумки;168376
1459;Автошини;166993
2154;Аксесуари для авто;160256
1758;Продаж квартир;150623
2702;Кросівки для міста;148357
383;Техніка для дому;146869
71;Інші дитячі товари;145806
631;Витвори майстрів / рукоділля;140513
2891;Повсякденні сукні;135592
52;Краса / здоров'я;132644
2358;Двигун;128138
2619;Туфлі;127691
3415;Вело;125397
369;Техніка для кухні;123657
60;Предмети інтер'єру;118495
57;Меблі;112411
2618;Черевики та напівчеревики;111175
545;Товари для школярів;108884
2372;Електрообладнання;105570
2623;Кросівки;103750
2371;Фари та освітлення;102083
2620;Чоботи, напівчоботи;100337
442;Аксесуари для телефонів;95615
2840;Светри, кардигани, худі;92143
1502;Ноутбуки та аксесуари;91415
657;Електроінструмент;90864
2667;Інші кросівки;90403
402;Аудіотехніка;87651
2671;Інші туфлі;87282
1433;Сад / город;84973
3199;Сумки через плече;84704
2672;Інші черевики та напівчеревики;84501
108;Легкові автомобілі;83236
2011;Жіноча білизна та купальники;83160
2738;Кофти й светри;83015
206;Будинки;81151
2670;Інше;81123
390;Індивідуальний догляд;80342
2366;Деталі салону;80131
85;Смартфони / мобільні телефони;78817
2418;Бампери;78798
2628;Босоніжки, сандалі, в'єтнамки;78632
458;Комплектуючі та запчастини;78602
2883;Пальто;78322
420;Тв / відеотехніка;76372
64;Собаки;75718
1602;Продаж будинків;75247
3567;Розвиваючі іграшки;75091
67;Зоотовари;71929
2932;Пуховики і зимові куртки;71851
2362;Ходова частина / підвіска;71143
63;Інші товари для дому;70506
2360;Трансмісія / КПП та АКПП;69870
2844;Джинси;68598
61;Освітлення;68349
6;Робота;67538
1463;Диски;66962
3416;Велосипеди;66161
3352;Мілітарія;64104
889;Дитячий транспорт;63732
2013;Головні убори;62750
3786;Дрібна побутова техніка;62726
2746;Спортивний одяг;62267
69;Дитячі меблі;62031
485;CD / DVD / Платівки;61339
109;Мото;59717
2850;Спортивний одяг;59426
2736;Футболки та майки;59343
2640;Босоніжки;59228
316;Запчастини для іншої техніки;58226
401;Аксесуари й комплектуючі;56530
80;Ноутбуки;55931
590;Туризм;55706
93;Продукти харчування / напої;55367
68;Дитячі коляски;53737
624;Живопис;53420
553;Біжутерія;52341
544;Годування;51953
429;Фото / відео;51938
3573;Ігрові фігурки;51886
2797;Пуховики та зимові куртки;51543
48;Кімнатні рослини;51423
2689;Черевики;51194
1151;Віддам безкоштовно;50266
2995;Інший верхній одяг;50134
2544;Передні фари;49809
3276;Чохли;49767
1465;Колеса в зборі;49209
2856;Вечірні сукні;49199
395;Кліматичне обладнання;48775
1610;Комерційна нерухомість;48688
3568;М'які іграшки;48278
2821;Інший верхній одяг;46486
466;Периферійні пристрої;46398
2838;Майки та футболки;45972
2842;Спідниці;45927
3574;Іграшковий транспорт;45367
188;Будівництво та ремонт;44867
557;Ювелірні вироби;44802
655;Ручний інструмент;44664
3565;Ляльки та пупси;43949
2747;Футболки;43920
3163;Шкіряні сумки;43490
556;Наручні годинники;43451
2839;Блузи і сорочки;43369
2155;Автозвук та мультимедіа;42475
1760;Довгострокова оренда квартир;41853
644;Опалення;40540
2845;Брюки;40455
55;Ігри та ігрові приставки;40281
511;Меблі для вітальні;40270
2741;Джинси;39697
2444;Двигуни у зборі;39658
3651;Фігурки персонажів;38488
596;Полювання / риболовля;38361
45;Музичні інструменти;38303
3564;Конструктори;38156
3661;Машинки;37792
3582;М'які тварини;37643
47;Продаж обладнання для бізнесу;37450
625;Предмети мистецтва;36939
404;Навушники та аксесуари;36795
642;Сантехніка;36759
75;Телевізори;36657
2420;Двері;36631
2017;Мотозапчастини;36426
2937;Шуби, кожухи;36091
1606;Земля;36073
1608;Продаж землі;35710
3848;Навушники;34826
623;Букіністика;34229
529;Текстиль;34082
304;Сільгосптехніка;34004
2367;Кондиціонер, обігрівач, вентиляція;33884
2363;Паливна система;33591
2564;Інше електрообладнання;32858
2722;Інші черевики;32820
2364;Гальмівна система;32751
897;Подарунки;32748
537;Господарський інвентар / побутова хімія;32717
3726;Інші комплектуючі;32384
368;Сільгосп тварини;32299
2141;Шапки;32296
645;Електрика;32061
584;Атлетика / фітнес;31911
1508;Планшети / ел. книги та аксесуари;31828
78;Настільні комп'ютери;31642
1614;Оренда комерційної нерухомості;31411
97;Для весілля;31363
2555;Блоки керування;31358
2847;Костюми;31302
2545;Задні фари;31228
2624;Кеди;31216
648;Вікна / двері / скло / дзеркала;31103
2374;Автоскло;31049
653;Інші будматеріали;30908
1431;Інша електроніка;30293
2580;Для сільгосптехніки;30018
2695;Туфлі;29653
568;Парфумерія;29499
3576;Ігрові набори;29459
2299;Купальники;29101
264;Мотоцикли;28330
2737;Сорочки і теніски;28148
2941;Дублянки;28095
2361;Кермове управління;28006
3569;Настільні ігри та пазли;27791
2424;Крила та їхні частини;27386
2854;Блузи;27337
632;Канцтовари / витратні матеріали;27307
2369;Система запалювання;27256
603;Футбол;27210
3147;Шарфи і рукавички;26947
3148;Окуляри;26802
65;Коти;26721
3585;Інтерактивні іграшки;26313
1520;Безкоштовно (тварини і в'язка);26264
2855;Светри;26167
2848;Жіночі піджаки та жакети;26114
515;Меблі для спальні;25902
2726;Інші туфлі;25605
3673;Інші ігрові набори;25503
2748;Сорочки;25448
3805;Смарт годинники / фітнес браслети;25271
3825;Мережеве обладнання;24994
2749;Худі;24980
2422;Капоти та їхні частини;24829
3419;Велозапчастини;24716
3353;Військовий одяг;24611
394;Інша техніка для індивідуального догляду;24491
2157;Транспорт на запчастини / авторозбірки;24402
2915;Кофтинки;24070
2742;Штани;23920
3297;Інші туристичні товари;23786
2468;КПП / АКПП у зборі;23747
2584;Весільні сукні;23638
3287;Перетворювачі напруги;23368
647;Оздоблювальні та облицювальні матеріали;23328
3142;Рюкзаки міські та спортивні;23288
2996;Інші джинси;23218
2901;Коктейльні сукні;23180
572;Інші товари для краси і здоров'я;23078
3428;Оренда та прокат;22930
2616;Решітка радіатора;22567
192;Перевезення та послуги спецтехніки;22537
3418;Велоаксесуари;22171
538;Дитячі автокрісла;22099
3175;Міські рюкзаки;22012
525;Офісні меблі;21915
3826;Оргтехніка;21827
2819;Спортивні штани;21794
2192;Автомагнітоли;21452
2971;Інші піджаки та жакети;21432
76;Інша техніка для дому;21297
2975;Спортивні костюми;21108
3285;Генератори;21090
3806;Смарт-годинники;20927
1504;Запчастини для ноутбуків;20732
3170;Сонцезахисні окуляри;20433
3818;Інше кліматичне обладнання;20419
81;Планшетні комп'ютери;20276
608;Інші види спорту;20205
2770;Вітровки;20093
2802;Кофти;20053
386;Пральні машини;20015
3143;Гаманці, косметички, візитниці;19669
2311;Роздільні купальники;19659
2944;Жилетки;19311
2191;Інші автоаксесуари;19269
2960;Костюми з брюками;19093
2509;Амортизатори;18745
2879;Топи;18735
2853;Футболки;18614
372;Плити / варильні поверхні;18607
2812;Класичні джинси;18591
2417;Багажники, задні панелі та їхні деталі;18588
2743;Костюми та піджаки;18529
2215;Магнітоли інших марок;18335
2629;Ботильйони;18319
1427;Мода різне;18302
83;Монітори;18253
387;Швейні машини та оверлоки;18244
2131;Бейсболки та кепки;17712
112;Авто / мото послуги;17694
3787;Кавоварки / кавомолки;17669
607;Настільні ігри;17558
1701;Автомобілі з Польщі;17544
2951;Шорти;17533
2012;Одяг для вагітних;17459
2894;Прямі джинси;17457
2378;Бічне скло;17371
1612;Продаж комерційної нерухомості;17252
3593;Інші розвиваючі ігри;17157
2466;Компоненти КПП / АКПП;16928
2301;Бюстгалтери;16922
2793;Светр;16871
1983;Навісне та додаткове обладнання;16861
2158;Автоковрики;16858
3709;Житло подобово;16782
384;Пилососи;16769
583;Роликові ковзани;16744
2018;Мотоекіпірування;16463
2849;Домашній одяг та одяг для сну;16072
533;Декор вікон;16064
2431;Інші кузовні запчастини;15956
3223;Спецодяг, спецвзуття та аксесуари;15924
2868;Сорочки;15878
2642;Лофери;15636
3645;Пазли;15569
570;Обладнання перукарень / салонів краси;15493
2778;Шкіряні куртки;15318
822;Будівельні послуги;15311
3570;Брязкальця та підвіски;15258
3784;Інші запчастини для ноутбуків;15252
3466;Побутові послуги;15087
2858;Плащі й тренчі;15066
370;Холодильники;15049
3421;Квадрокоптери та аксесуари;15042
3146;Ремені та пояси;14941
659;Інший інструмент;14792
414;Акустичні системи;14776
3166;Гаманці;14765
1506;Аксесуари для ноутбуків;14752
1153;Обмін;14693
3290;Ліхтарики;14553
2728;Духи (парфуми);14492
650;Металопрокат / арматура;14248
2756;Спортивні костюми;14232
3829;Роутери (маршрутизатори);14191
3358;Спорядження;14161
3830;Принтери / БФП;14125
2453;Радіатори автомобільні;14120
2931;Спідниці міді;14105
2688;Кеди;14032
2637;Ботфорти;13971
2442;Блок циліндрів та його частини;13945
2903;Шкіряні куртки;13899
523;Кухонні меблі;13866
424;Аксесуари для ТВ/Відеотехніки;13840
2398;Автосидіння, крісла;13785
391;Бритви;13784
265;Мопеди / скутери;13758
392;Фени для волосся;13741
2824;Інші штани;13739
605;Єдиноборства / бокс;13579
3158;Ремені;13565
367;Акваріумістика;13509
3242;Каблучки;13505
2696;Кросівки для бігу;13500
2534;Стартер, запчастини стартера;13486
2182;Пороги та накладки;13258
2010;Чоловіча білизна та плавки;13090
143;Виробництво / робітничі спеціальності;13081
836;Ремонт та обслуговування техніки;13060
2174;Автонасоси, компресори, манометри;12954
193;Краса / здоров'я;12859
