Brand;Count;URL
Acura;142;https://www.olx.ua/uk/transport/legkovye-avtomobili/acura/?currency=UAH
Alfa Romeo;107;https://www.olx.ua/uk/transport/legkovye-avtomobili/alfa-romeo/?currency=UAH
Aston Martin;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/aston-martin/?currency=UAH
Audi;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/audi/?currency=UAH
Bentley;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/bentley/?currency=UAH
BMW;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/bmw/?currency=UAH
BMW-Alpina;2;https://www.olx.ua/uk/transport/legkovye-avtomobili/bmw-alpina/?currency=UAH
Brilliance;3;https://www.olx.ua/uk/transport/legkovye-avtomobili/brilliance/?currency=UAH
Buick;69;https://www.olx.ua/uk/transport/legkovye-avtomobili/buick/?currency=UAH
BYD;56;https://www.olx.ua/uk/transport/legkovye-avtomobili/byd/?currency=UAH
Cadillac;73;https://www.olx.ua/uk/transport/legkovye-avtomobili/cadillac/?currency=UAH
Chana;3;https://www.olx.ua/uk/transport/legkovye-avtomobili/chana/?currency=UAH
Chery;749;https://www.olx.ua/uk/transport/legkovye-avtomobili/chery/?currency=UAH
Chevrolet;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/chevrolet/?currency=UAH
Chrysler;205;https://www.olx.ua/uk/transport/legkovye-avtomobili/chrysler/?currency=UAH
Citroen;943;https://www.olx.ua/uk/transport/legkovye-avtomobili/citroen/?currency=UAH
Dacia;422;https://www.olx.ua/uk/transport/legkovye-avtomobili/dacia/?currency=UAH
Dadi;18;https://www.olx.ua/uk/transport/legkovye-avtomobili/dadi/?currency=UAH
Daewoo;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/daewoo/?currency=UAH
Daihatsu;31;https://www.olx.ua/uk/transport/legkovye-avtomobili/daihatsu/?currency=UAH
Dodge;376;https://www.olx.ua/uk/transport/legkovye-avtomobili/dodge/?currency=UAH
FAW;6;https://www.olx.ua/uk/transport/legkovye-avtomobili/faw/?currency=UAH
Ferrari;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/ferrari/?currency=UAH
Fiat;908;https://www.olx.ua/uk/transport/legkovye-avtomobili/fiat/?currency=UAH
Ford;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/ford/?currency=UAH
Geely;490;https://www.olx.ua/uk/transport/legkovye-avtomobili/geely/?currency=UAH
GMC;55;https://www.olx.ua/uk/transport/legkovye-avtomobili/gmc/?currency=UAH
Great Wall;70;https://www.olx.ua/uk/transport/legkovye-avtomobili/great-wall/?currency=UAH
Groz;3;https://www.olx.ua/uk/transport/legkovye-avtomobili/groz/?currency=UAH
Honda;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/honda/?currency=UAH
Hummer;9;https://www.olx.ua/uk/transport/legkovye-avtomobili/hummer/?currency=UAH
Hyundai;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/hyundai/?currency=UAH
Infiniti;279;https://www.olx.ua/uk/transport/legkovye-avtomobili/infiniti/?currency=UAH
Isuzu;25;https://www.olx.ua/uk/transport/legkovye-avtomobili/isuzu/?currency=UAH
Iveco;9;https://www.olx.ua/uk/transport/legkovye-avtomobili/iveco/?currency=UAH
JAC;26;https://www.olx.ua/uk/transport/legkovye-avtomobili/jac/?currency=UAH
Jaguar;143;https://www.olx.ua/uk/transport/legkovye-avtomobili/jaguar/?currency=UAH
Jeep;952;https://www.olx.ua/uk/transport/legkovye-avtomobili/jeep/?currency=UAH
Kia;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/kia/?currency=UAH
Lamborghini;4;https://www.olx.ua/uk/transport/legkovye-avtomobili/lamborghini/?currency=UAH
Lancia;30;https://www.olx.ua/uk/transport/legkovye-avtomobili/lancia/?currency=UAH
Land Rover;443;https://www.olx.ua/uk/transport/legkovye-avtomobili/land-rover/?currency=UAH
Lexus;561;https://www.olx.ua/uk/transport/legkovye-avtomobili/lexus/?currency=UAH
Lifan;21;https://www.olx.ua/uk/transport/legkovye-avtomobili/lifan/?currency=UAH
Lincoln;144;https://www.olx.ua/uk/transport/legkovye-avtomobili/lincoln/?currency=UAH
Lotus;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/lotus/?currency=UAH
Maserati;21;https://www.olx.ua/uk/transport/legkovye-avtomobili/maserati/?currency=UAH
Maybach;0;https://www.olx.ua/uk/transport/legkovye-avtomobili/maybach/?currency=UAH
Mazda;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/mazda/?currency=UAH
McLaren;0;https://www.olx.ua/uk/transport/legkovye-avtomobili/mclaren/?currency=UAH
Mercedes-Benz;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/mercedes-benz/?currency=UAH
Mercury;0;https://www.olx.ua/uk/transport/legkovye-avtomobili/mercury/?currency=UAH
MG;32;https://www.olx.ua/uk/transport/legkovye-avtomobili/mg/?currency=UAH
MINI;131;https://www.olx.ua/uk/transport/legkovye-avtomobili/mini/?currency=UAH
Mitsubishi;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/mitsubishi/?currency=UAH
Nissan;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/nissan/?currency=UAH
Oldsmobile;3;https://www.olx.ua/uk/transport/legkovye-avtomobili/oldsmobile/?currency=UAH
Opel;1;https://www.olx.ua/uk/transport/legkovye-avtomobili/opel/?currency=UAH
