Brand;Count
трактори колісні;13477
міні-трактори;579
гусеничні трактори;294
мототрактори;279
трактори-газонокосарки;523
скіддери;70
виноградникові трактори;27
висококліренсні трактори;6
мотоблоки;19
4Farmer;3
AGCO;1
AVR;1
Agria;2
Agrio;1
Agromehanika;2
Alfa;1
Antonio Carraro;7
SRX;1
Tigrone;2
Arbos;4
Armatrac;34
584;3
704;1
854;4
1054;3
1104;2
1254;3
Avant;1
400 - series;1
Avenger;3
BCS;1
BSA;1
Barreiros;9
Bauer;3
Başak;3
Belarus;44
Berthoud;2
Biso;1
Bobard;1
Bobcat;2
CT;1
E series;1
Bolinder-Munktell;2
Branson;3
Briri;2
Bucher;1
Bukh;1
Captain;11
Captok;1
Caroni;1
Carraro;3
TTR;1
Case IH;1056
310;24
500;27
535;7
733;2
844;8
845;5
856;5
956;6
1056;3
4210;3
4230;6
5120;6
5130;7
5140;13
5150;6
7210;5
7220;6
7240;3
7250;2
8940;2
CS;29
CVX;220
Farmall;74
International;11
JX;16
Luxxum;10
MX;42
MXM;15
MXU;12
Magnum;168
Maxxum;106
Optum;62
Puma;237
Quadtrac;44
Quantum;5
STX;8
Steiger;32
Vestrum;17
Caterpillar;43
319;1
775;1
AP;1
D series;17
E-series;1
Challenger;76
MT;63
Changfa;2
CFG;1
Claas;1464
Ares;53
Arion;550
Atles;2
Atos;20
Axion;598
Axos;41
Celtis;14
Challenger;7
Conspeed;2
Elios;24
Nectis;1
Nexos;27
Scorpion;2
Vario;1
Xerion;99
Dammann;1
ANP;1
David Brown;14
990;3
995;2
996;1
1210;1
Deutz;32
D-series;9
Deutz-Fahr;949
Agrofarm;14
Agrokid;1
Agrolux;1
Agroplus;12
Agrostar;3
Agrotron;397
DX series;28
D series;24
HD;3
KM;1
K series;6
M series;37
Dieci;1
Dongfeng;3
Doppstadt;2
Dubex;1
Ebro;19
160;4
470;1
684;2
6125;1
SUPER 55;2
Eckart;3
Eicher;3
Eney;1
Ensign;1
Erkunt;1
Eurotrac;2
F-series;2
FM World;1
Fantini;2
FarmLead;3
Farmall;1
Farmer;1
Farmtech;1
Farmtrac;25
Fendt;1515
Dieselross;1
F-series;11
Rogator;2
Vario;1088
Xylon;7
Ferrari;9
Fiat;128
180-90;4
500;1
FiatAgri;3
Fliegl;1
Ford;153
3000;6
4000;11
4600;4
4610;4
5000;8
5600;2
5610;11
6600;3
6610;10
6640;7
7700;4
7710;3
7810;3
8210;6
8340;3
8630;2
8670;4
Dexta;3
TW;10
Fordson;10
Major;7
Super Major;2
Fort;1
Fortschritt;3
Fortuna;2
Foton;4
FT;3
Franco Fabril;1
Fresia;1
