Brand;Count
4Farmer;3
AGCO;1
AVR;1
Agria;2
Agrio;1
Agromehanika;4
Alfa;1
Antonio Carraro;10
SRX;1
Tigrone;2
Arbos;4
Armatrac;37
584;3
704;1
854;4
1054;3
1104;4
1254;3
Avant;1
400 - series;1
Avenger;3
Avery;1
BCS;2
BSA;1
Barreiros;9
Bauer;3
Başak;3
Belarus;36
Belos;1
Berthoud;2
Biso;1
Bobard;1
Bobcat;1
CT;1
Bolinder-Munktell;3
Branson;1
Briri;2
Bucher;1
Captain;11
Captok;1
Caroni;1
Carraro;3
TTR;1
Case IH;1097
310;33
500;27
535;9
844;7
845;4
856;4
956;6
1056;5
4210;3
4230;5
5120;4
5130;7
5140;14
5150;4
7210;5
7220;5
7240;3
7250;3
8940;2
CS;31
CVX;220
Farmall;76
International;11
JX;18
Luxxum;12
MX;45
MXM;16
MXU;15
Magnum;174
Maxxum;99
Optum;61
Puma;263
Quadtrac;46
Quantum;5
STX;8
Steiger;32
Vestrum;18
Caterpillar;47
319;1
775;1
AP;1
D series;21
E-series;1
Challenger;69
MT;57
Changfa;2
CFG;1
Claas;1507
Ares;54
Arion;566
Atles;2
Atos;20
Axion;629
Axos;36
Celtis;12
Challenger;7
Conspeed;2
Elios;24
Nexos;25
Scorpion;2
Vario;1
Xerion;102
Dammann;1
ANP;1
David Brown;18
990;3
995;2
996;2
1210;1
Deutz;34
D-series;11
Deutz-Fahr;946
Agrofarm;16
Agrokid;1
Agrolux;2
Agroplus;12
Agrostar;3
Agrotron;396
DX series;23
D series;23
HD;2
K series;9
M series;34
Dongfeng;3
Doppstadt;1
Dubex;1
Ebro;19
160;4
470;1
684;2
6125;1
SUPER 55;2
Eckart;3
Eicher;8
Eney;1
Ensign;1
Erkunt;1
Eurotrac;1
F-series;1
FM World;1
Fantini;2
FarmLead;4
Farmall;2
Farmer;1
Farmtech;1
Farmtrac;12
Fendt;1505
Cargo;1
F-series;10
Rogator;2
Vario;1078
Xylon;7
Ferrari;8
Fiat;131
180-90;4
500;1
FiatAgri;3
Fliegl;1
Ford;165
3000;8
4000;10
4600;5
4610;4
5000;7
5600;2
5610;12
6600;3
6610;10
6640;7
7700;4
7710;2
7810;4
8210;9
8340;3
8630;3
8670;3
County;2
Dexta;3
TW;10
Fordson;8
Major;7
Super Major;3
Fort;1
Fortschritt;3
Fortuna;2
Foton;3
