Brand;Count
Abarth;10
ABG Titan;1
Acura;5893
Aero;2
AION;4
Aiways;3
Alfa;111
Alfa Romeo;397
Alpine;1
AMC;1
Anaig;1
Aro;8
Asia;4
Aston Martin;24
ATN;1
ATS Corsa;1
Audi;24296
Avatr;47
BAIC;5
Baojun;4
Barkas;8
Baw;1
Bentley;138
BlueCar;1
BMW;23639
BMW-Alpina;28
Bobcat;1
Brilliance;10
Bristol;1
Buick;297
BYD;1382
Cadillac;349
Capello;11
Cenntro;1
Chana;22
Changan;59
Changfeng;1
Changhe;18
Chanje;1
Chery;3602
Chevrolet;9906
Chrysler;869
Citroen;5072
Cobra;5
Cupra;45
Dacia;2182
Dadi;50
Daewoo;12054
Daf;1
DAF (VDL);1
Daihatsu;141
Denza;52
Derways;2
DFSK;1
DKW;2
Dodge;1902
Dongfeng;19
DS;46
Eagle;1
Enovate;2
FAW;59
FCB;23
Ferrari;9
Fiat;3526
Fisker;30
Ford;21266
Foton;1
FSO;4
FUQI;3
Gac;4
Geely;2429
Genesis;41
Geo;2
GMC;183
Golf Car;1
Gonow;4
Great Wall;356
Groz;9
GWM;6
Hafei;9
Haval;137
Honda;5951
Hong Xing;1
Hongqi;4
Huabei;8
Huanghai;5
Hummer;51
Hyundai;14310
IM;5
Ineos;1
Infiniti;2154
Isuzu;79
Iveco;207
JAC;130
Jaguar;1161
Jeep;5273
Jetour;97
Jinbei;3
Kia;11394
Lamborghini;50
Lancia;106
Land Rover;3814
Landwind;5
LDV;30
Leapmotor;4
Leopard;21
Lexus;3985
Li Auto;19
Lifan;111
Lincoln;695
Link Tour;1
Lotus;1
Lovol;5
Lucid;25
Lynk & Co;1
Mahindra;1
MAN;55
Maserati;163
Maxus;19
Maybach;2
Mazda;10695
McLaren;5
Mercedes-Benz;19355
Mercury;13
MG;273
MINI;1077
Mitsubishi;9010
MPM Motors;1
MTD;1
Neta;4
Nissan;17176
Nysa;1
Oldsmobile;8
Opel;17489
ORA;1
Panav;2
Peugeot;8020
Piaggio;144
Plymouth;5
Polestar;148
Pontiac;17
Porsche;2077
Ram;91
Ravon;109
Raysince;1
Renault;21182
Retro;4
Rivian;75
Rolls-Royce;64
Rover;149
Saab;117
SAIPA;9
Samand;125
Samsung;82
Saturn;4
SCHMIDT;6
Scion;44
SEAT;1726
Segway;1
Shuanghuan;2
Skoda;16535
Skywell;7
SMA;32
Smart;704
SouEast;11
SsangYong;977
Subaru;3466
Suzuki;3944
Talbot;1
TATA;28
Tesla;5143
Tianma;2
Toyota;14686
Trabant;2
Triumph;77
Upright;1
VEGA;1
Venturi;3
VinFast;1
Volkswagen;44848
Volvo;4078
Voyah;3
Wanfeng;1
Wartburg;12
Weltmeister;23
Willys;3
Wuling;3
Xiaomi;75
Xinkai;1
Xpeng;11
Yema;2
Zastava;1
Zeekr;449
Zotye;4
Zubr;7
Zuk;2
ZX;22
Богдан;262
Булат;3
ВАЗ / Lada;37012
ВИС;1
ГАЗ;4638
Другая;1
Другое;2
Жук;2
ЗАЗ;8100
ЗИЛ;2
ЗИМ;2
ИЖ;1241
КамАЗ;21
Лида;1
ЛуАЗ;136
Москвич / АЗЛК;1031
Москвич/АЗЛК;223
РАФ;5
Ретро автомобили;1
Самодельный;1
СМЗ;2
УАЗ;752
ХТЗ;1
ЧАЗ;1
