input_brand,url,h1_text,parsed_brand,parsed_count,brand_slug
,https://auto.ria.com/uk/car/2pps/,34 оголошення про продаж 2ППС,34 Про 2ппс,34,2pps
,https://auto.ria.com/uk/car/ackermann-fruehauf/,8 оголошень про продаж Ackermann-Fruehauf,8 Оголошень Про Ackermann-fruehauf,8,ackermann-fruehauf
,https://auto.ria.com/uk/car/acura/,657 оголошень про продаж Acura,657 Оголошень Про Acura,657,acura
,https://auto.ria.com/uk/car/alfa-romeo/,354 оголошення про продаж Alfa Romeo,354 Про Alfa Romeo,354,alfa-romeo
,https://auto.ria.com/uk/car/aprilia/,83 оголошення про продаж Aprilia,83 Про Aprilia,83,aprilia
,https://auto.ria.com/uk/car/asia/,10 оголошень про продаж Asia,10 Оголошень Про Asia,10,asia
,https://auto.ria.com/uk/car/aston-martin/,16 оголошень про продаж Aston Martin,16 Оголошень Про Aston Martin,16,aston-martin
,https://auto.ria.com/uk/car/atlas/,35 оголошень про продаж Atlas,35 Оголошень Про Atlas,35,atlas
,https://auto.ria.com/uk/car/audi/,18 000+ оголошень про продаж Audi,18 000+ Оголошень Про Audi,,audi
,https://auto.ria.com/uk/car/azimut/,12 оголошень про продаж Azimut,12 Оголошень Про Azimut,12,azimut
,https://auto.ria.com/uk/car/bayliner/,36 оголошень про продаж Bayliner,36 Оголошень Про Bayliner,36,bayliner
,https://auto.ria.com/uk/car/benelli/,40 оголошень про продаж Benelli,40 Оголошень Про Benelli,40,benelli
,https://auto.ria.com/uk/car/bentley/,71 оголошення про продаж Bentley,71 Про Bentley,71,bentley
,https://auto.ria.com/uk/car/bmw/,17 500+ оголошення про продаж BMW,17 500+ Про Bmw,,bmw
,https://auto.ria.com/uk/car/bomag/,37 оголошень про продаж Bomag,37 Оголошень Про Bomag,37,bomag
,https://auto.ria.com/uk/car/bova/,16 оголошень про продаж BOVA,16 Оголошень Про Bova,16,bova
,https://auto.ria.com/uk/car/brp/,419 оголошень про продаж BRP,419 Оголошень Про Brp,419,brp
,https://auto.ria.com/uk/car/buick/,238 оголошень про продаж Buick,238 Оголошень Про Buick,238,buick
,https://auto.ria.com/uk/car/byd/,991 оголошення про продаж BYD,991 Про Byd,991,byd
,https://auto.ria.com/uk/car/cadillac/,306 оголошень про продаж Cadillac,306 Оголошень Про Cadillac,306,cadillac
,https://auto.ria.com/uk/car/caterpillar/,114 оголошень про продаж Caterpillar,114 Оголошень Про Caterpillar,114,caterpillar
,https://auto.ria.com/uk/car/cfmoto/,290 оголошень про продаж CFMOTO,290 Оголошень Про Cfmoto,290,cfmoto
,https://auto.ria.com/uk/car/chery/,2 300+ оголошень про продаж Chery,2 300+ Оголошень Про Chery,,chery
,https://auto.ria.com/uk/car/chevrolet/,7 100+ оголошень про продаж Chevrolet,7 100+ Оголошень Про Chevrolet,,chevrolet
,https://auto.ria.com/uk/car/chrysler/,713 оголошень про продаж Chrysler,713 Оголошень Про Chrysler,713,chrysler
,https://auto.ria.com/uk/car/citroen/,4 300+ оголошень про продаж Citroen,4 300+ Оголошень Про Citroen,,citroen
,https://auto.ria.com/uk/car/crownline/,10 оголошень про продаж Crownline,10 Оголошень Про Crownline,10,crownline
