Brand;Count
Aiways;1
Alfa Romeo;50
Alpina;2
Aston Martin;9
Audi;1091
Bentley;46
BMW;1610
Buick;2
BYD;19
Cadillac;30
Chevrolet;66
Chrysler;71
Citroen;230
Cupra;59
Dacia;76
Daihatsu;2
Daimler;1
DFSK;2
Dodge;34
DS;2
Ferrari;19
Fiat;70
Fisker;1
Ford;476
GAZ;21
GMC;7
GWM;12
Honda;216
Hummer;1
Hyundai;249
Infiniti;8
Iveco;1
IZ;5
Jaguar;76
Jeep;37
Kia;379
Lada;32
Lamborghini;12
Lancia;17
Land Rover;47
Lexus;153
Lincoln;3
Lotus;2
Lynk & Co;2
Maserati;28
Maxus;3
Maybach;1
Mazda;169
McLaren;9
Mercedes;245
Mercedes;1255
MG;6
Mia Electric;1
MINI;87
Mitsubishi;109
Moskvich;5
Nissan;227
Opel;354
Peugeot;402
Polestar;8
Pontiac;4
Porsche;212
Ram;4
Renault;269
Rolls;2
Rover;1
Saab;49
SEAT;108
Seres;1
Skoda;817
Skywell;2
Smart;11
SsangYong;8
Subaru;154
Suzuki;26
SWM;4
Tesla;106
Toyota;753
Triumph;1
UAZ;?
VAZ;32
Volkswagen;1123
Volvo;768
ZAZ;2
Zimmer;1
