Brand;Count
AC;2
Acura;5
Aixam;2
Alfa Romeo;25
Alpina;0
AMC;0
ARO;0
Asia;1
Aston Martin;0
Audi;605
Bellier;0
Bentley;1
BMW;722
Buick;4
BYD;0
Cadillac;9
Chatenet;0
Chevrolet;68
Chrysler;44
Citroen;140
Cupra;1
Dacia;15
Daewoo;0
Daihatsu;0
Dodge;27
Eagle;1
Excalibur;0
Ferrari;0
Fiat;38
Fisker;1
Ford;237
GMC;1
Honda;103
Hummer;1
Hyundai;74
Infiniti;6
Isuzu;2
Iveco;2
Jaguar;24
Jeep;37
Kia;74
Lamborghini;2
Lancia;2
Land Rover;46
LDV;0
Lexus;67
Lincoln;2
Maserati;3
Maybach;0
Mazda;83
Mercedes-Benz;379
Mercury;0
MG;1
Microcar;0
Mini;28
Mitsubishi;52
Morgan;0
Nissan;135
Oldsmobile;3
Opel;293
Packard;0
Panther;0
Peugeot;175
Plymouth;0
Pontiac;0
Porsche;55
Proton;0
Renault;149
Rolls-Royce;0
Rover;6
Saab;15
Santana;0
Saturn;1
Scion;0
Seat;64
Shuanghuan;1
Skoda;180
Smart;6
SMZ;0
SsangYong;5
Subaru;50
Suzuki;13
Tesla;32
Think;0
Toyota;340
Trabant;0
Triumph;0
Volkswagen;661
Volvo;290
Wartburg;0
ВАЗ;13
ГАЗ;3
ЗАЗ;7
ЛуАЗ;0
Москвич;4
УАЗ;1
