Brand;Count
Volkswagen;3109
BMW;2771
Audi;2082
Opel;1835
Mercedes-Benz;1420
Ford;1376
Toyota;1304
Volvo;1158
Skoda;780
Nissan;749
Peugeot;785
Renault;619
Hyundai;588
Seat;507
Citroen;497
Kia;487
Mazda;348
Honda;331
Jeep;289
Subaru;319
Mitsubishi;291
Fiat;196
Chevrolet;207
Porsche;190
Lexus;211
Land Rover;202
Dodge;172
Suzuki;104
Chrysler;124
MINI;95
Cupra;74
Dacia;78
Tesla;77
Jaguar;84
Alfa Romeo;44
Saab;41
Lada;34
Infiniti;30
Iveco;28
Ssangyong;28
Cadillac;23
Maserati;25
Buick;22
GAZ;16
Lincoln;16
Moskvich;15
Smart;10
Daihatsu;10
Acura;8
Hummer;9
Lancia;8
UAZ;8
Isuzu;7
GMC;7
Pontiac;7
ZAZ;6
Aixam;10
Bentley;6
MG;7
DS Automobiles;7
Rover;5
Ligier;3
Microcar;4
Rolls-Royce;4
Maybach;3
Mercury;3
Polestar;2
Kita;3
Alpina;2
Aston Martin;2
Daewoo;2
McLaren;2
Oldsmobile;2
Tata;2
Abarth;1
Casalini;0
Ferrari;0
Geely;0
Hongqi;1
Lamborghini;1
Lotus;1
LuAZ;1
MPM;1
Man;1
Piaggio;1
Shuanghuan;0
Wartburg;0
AC;0
Aro;0
Asia;0
Austin;0
Autobianchi;0
BYD;0
Baic;0
Bellier;0
Brilliance;0
Bugatti;0
Caterham;0
Chatenet;0
CityEL;0
Comarth;0
DAF;0
DFSK;0
DKW;0
De Lorean;0
EMoto;0
Eagle;0
Excalibur;0
FAW;0
Fisker;0
GWM;0
Galloper;0
Genesis;0
Gonow;0
Goupil;0
Grecav;0
Holden;0
JAC;0
Kaipan;0
Koenigsegg;0
LDV;0
LTI;0
Landwind;0
Lynk & Co;0
Mahindra;0
Maruti;0
Morgan;0
NSU;0
Nysa;0
Oltcit;0
Ora;0
Pinzgauer;0
Plymouth;0
Polonez;0
Proton;0
Samsung;0
Santana;0
Saturn;0
Scion;0
Syrena;0
TVR;0
Talbot;0
Tarpan;0
Tatra;0
Tavria;0
Tazzari;0
Think;0
Trabant;0
Triumph;0
Vauxhall;0
Warszawa;0
Weismann;0
Xpeng;0
Yugo;0
Yunlong Motors;0
Zastava;0
Zuk;0
