Brand;Count
Alfa Romeo;8
Aston martin;1
Audi;296
Bentley;11
BAIC;2
BMW;344
Cadillac;1
Chevrolet;6
Chrysler;5
Citroen;48
Cupra;80
Dacia;13
Dodge;4
DFSK;1
DS Automobiles;1
Fiat;15
Ford;69
Forthing;0
GWM;6
Honda;23
Hyundai;95
Infiniti;3
Jaguar;30
JAC;1
Jeep;12
Kia;42
Lada;1
Lamborghini;1
Lancia;1
Land Rover;48
Lexus;22
Maserati;2
Maybach;1
Mazda;19
McLaren;1
Mercedes-Benz;240
MG;1
MINI;9
Mitsubishi;12
Nissan;59
Opel;104
Peugeot;82
Porsche;57
Renault;33
Saab;3
Seat;53
Skoda;225
SsangYong;2
Subaru;32
Suzuki;10
Tesla;63
Toyota;111
Volkswagen;287
Volvo;224
