Brand;Count
Aprilia;35
Arctic Cat;14
Bajaj;1
BENDA;7
Benelli;16
Beta;16
Bluroc;1
BMW;126
BOOM;1
Buell;3
Cajero;1
Can-Am;43
Casalini;8
CFMOTO;84
Citroen;1
CZ;1
Dnepr;1
Ducati;44
Due;1
Fantic;4
Gas Gas;29
Goes;1
Grecav;2
Harley-Davidson;101
HISUN;2
Honda;111
Husqvarna;41
Indian;19
IZ;3
Jawa;9
John Deere;2
Kawasaki;97
Kayo;1
Keeway;3
KTM;96
KXD;7
Kymco;12
Lambretta;1
Ligier;9
Linhai;10
Lintex;1
Loncin;10
LYNX;16
Mash;2
Microcar;5
Moto Guzzi;5
Moto Morini;2
MV Agusta;11
Odes;11
Omavalmistatud;2
OSET;1
Pentora;2
Peugeot;4
Piaggio;4
Pitpro;1
Polaris;48
Powerland;2
QJ Motor;21
Rewaco;1
Rieju;8
Riga;1
Royal Enfield;12
Segway;13
Sherco;3
Silence;1
Skand;1
Ski-Doo;18
Stark;5
Stels;4
Super SOCO;5
Suzuki;68
SWM;2
Talaria;7
TGB;3
TM Racing;2
Triumph;34
TRRS;2
Tuula;1
Ultra Motorcross;3
Ural;3
Vespa;6
Victory;3
Voge;8
Xiangshuai;1
Yamaha;140
Zontes;4
