Brand;Count
4Farmer;3
AGCO;1
AVR;1
Agria;4
Agrio;1
Agromehanika;4
Alfa;1
Arbos;9
Armatrac;37
Avant;1
Avenger;3
Avery;1
BCS;2
BSA;1
Barreiros;9
Bauer;3
Başak;3
Belarus;35
Belos;0
Berthoud;2
Bigab;1
Biso;1
Bobard;1
Bobcat;1
Bolinder-Munktell;1
Branson;3
Briri;2
Bucher;1
Captain;11
Captok;1
Caroni;1
Carraro;3
Case IH;1084
Caterpillar;45
Challenger;68
Changfa;2
Claas;1460
David Brown;19
Deutz;39
Deutz-Fahr;926
Dongfeng;3
Doppstadt;1
Dubex;1
Ebro;19
Eckart;3
Eicher;11
Eney;1
Ensign;1
Erkunt;1
Eurotrac;1
F-series;1
FM World;1
Fantini;2
FarmLead;4
Farmall;2
Farmer;1
Farmtech;1
Farmtrac;14
Fendt;1502
Ferrari;7
Fiat;132
FiatAgri;3
Fliegl;1
Ford;167
Fordson;9
Fort;1
Fortschritt;3
Fortuna;2
Foton;3
Franco Fabril;1
Fresia;1
Frisian Motors;1
Garant Kotte;5
Garden Scout;1
Giant;1
Goldoni;6
Grillo;1
Grimme;1
HANOMAG;7
Hako;3
Hattat;4
Hinomoto;18
Hitachi;2
Holder;10
Honda;2
Horsch;1
Hymas;1
Hürlimann;2
International Harvester;4
International;33
Irrifrance;1
Irum;2
Iseki;172
Isuzu;2
JCB;134
Jansen;1
Jeantil;2
Jinma;1
John Deere;3666
Joskin;9
Kata;1
Kawasaki;1
Kemper;1
Kentavr;1
Kerner;1
Kiefer;3
Kioti;17
Knegt;3
Komatsu;1
Kramer;2
Krampe;1
Kubota;427
Kärcher;1
LS;52
Lamborghini;59
Landini;44
Lanz Bulldog;1
Leyland;4
Linde;1
Lindner;49
Lovol;29
MAN;2
MB;5
Massey Ferguson;839
Massey;3
McCormick;80
Mercedes-Benz;47
Merlo;1
Mitsubishi;52
Morooka;4
Mulag;1
Multicar;1
Müthing;1
New Holland;1112
Nuffield;6
Oliver;1
Oros;1
PGS;1
Pasquali;7
Pauny;1
Pellenc;1
Perfect;1
Pichon;3
Plus Power;10
Polarprod;0
Porsche;8
Pronar;2
Razol;1
Reform;6
Renault;82
Rhino;1
Rimas;1
Ropa;1
SAME;88
SDF;1
Sami;1
Samson;1
Sauerburger;1
Sava;2
Schlüter;3
Schäffer;14
Shibaura;17
Shifeng;1
Sieger;1
Solis;87
Someca;1
Spike;14
Steyr;204
Stoll;1
Suer;1
TAFE;2
TYM;23
Taihong;1
Takeuchi;2
Talex;1
Taylor-Dunn;1
Tecnoma;1
Terex;2
Thaler;11
Treffler;1
Trimble;1
Tümosan;1
Ursus;11
VST;4
Valmet;26
Valpadana;2
Valtra;547
Versatile;1
Vimek;0
Volvo;45
Weidemann;2
Wielton;1
Wienhoff;3
YTO;58
Yanmar;117
Yard King;1
Yüksel Tarim;1
Zetor;86
Ziegler;1
Zoomlion;3
Zunhammer;6
Zürn;1
Škoda;1
Агрико;1
Агромаш;1
ВТЗ;1
ДТ;1
ДТЗ;5
Кировец;4
МТЗ Беларус;60
Ростсельмаш;2
Слобожанець;1
ХТЗ;19
ЮМЗ;1
