Brand;Count
Abarth;13
ABG Titan;1
Acura;5597
Aero;2
AION;7
Aiways;3
Aixam;1
Alfa;110
Alfa Romeo;387
Alpine;2
AMC;2
Anaig;1
Aro;7
Asia;5
Aston Martin;25
ATN;1
Audi;24537
Avatr;55
BAIC;4
Baojun;5
Barkas;8
Baw;1
Bentley;137
BMW;23722
BMW-Alpina;27
Bobcat;1
Brilliance;9
Bristol;1
Buick;296
BYD;1479
Cadillac;352
Capello;11
Chana;23
Changan;53
Changfeng;1
Changhe;19
Chanje;1
Chery;3613
Chevrolet;9954
Chrysler;861
Citroen;5085
Cobra;5
Cupra;44
Dacia;2183
Dadi;52
Daewoo;12182
Daf;1
Daihatsu;144
Denza;62
Derways;2
DFSK;1
DKW;2
Dodge;1921
Dongfeng;21
DS;47
Eagle;1
Enovate;2
FAW;62
FCB;25
Ferrari;9
Fiat;3568
Fisker;30
Ford;21526
Foton;1
FSO;5
FUQI;4
Gac;4
Geely;2427
Genesis;42
Geo;2
GMC;180
Golf Car;1
Gonow;4
Great Wall;364
Groz;8
GWM;7
Hafei;9
Haval;128
Honda;5999
Hongqi;4
Huabei;8
Huanghai;5
Hummer;47
Hyundai;14486
IM;5
Ineos;1
Infiniti;2151
Isuzu;83
Iveco;201
JAC;129
Jaguar;1174
Jeep;5315
Jetour;102
Jinbei;3
Kia;11509
Lamborghini;50
Lancia;99
Land Rover;3708
Landwind;6
LDV;33
Leapmotor;4
Leopard;24
Lexus;4040
Li Auto;18
Lifan;111
Lincoln;704
Link Tour;1
Lotus;1
Lovol;6
Lucid;28
Lynk & Co;1
Mahindra;1
MAN;57
Maserati;172
Maxus;20
Maybach;1
Mazda;10734
McLaren;6
Mercedes-Benz;19604
Mercury;11
MG;275
MINI;1087
Mitsubishi;8991
MPM Motors;1
MTD;1
Neta;3
Nissan;17253
Nysa;1
Oldsmobile;8
Opel;17631
ORA;1
Panav;2
Peugeot;8076
Piaggio;154
Plymouth;5
Polestar;144
Pontiac;16
Porsche;2096
Proton;1
Ram;91
Ravon;106
Raysince;1
Renault;21312
Retro;4
Rivian;72
Rolls-Royce;62
Rover;162
Saab;125
SAIPA;12
Samand;129
Samsung;87
Saturn;7
SCHMIDT;5
Scion;42
SEAT;1729
Segway;2
Shuanghuan;2
Skoda;16509
Skywell;10
SMA;32
Smart;702
SouEast;10
SsangYong;990
Subaru;3424
Suzuki;4270
TATA;32
Tesla;5251
Tianma;2
Toyota;14799
Trabant;3
Triumph;78
Upright;1
VEGA;1
Venturi;3
VinFast;1
Volkswagen;44998
Volvo;4135
Voyah;3
Wanfeng;1
Wartburg;11
Weltmeister;23
Willys;3
Wuling;3
Xiaomi;80
Xinkai;1
Xpeng;12
Yema;2
Zastava;1
Zeekr;468
Zotye;4
Zubr;8
Zuk;2
ZX;23
Богдан;267
Булат;3
ВАЗ / Lada;37196
ВИС;1
ГАЗ;5160
Другая;1
Другое;2
Жук;2
ЗАЗ;8201
ЗИЛ;2
ЗИМ;2
ИЖ;1347
КамАЗ;21
Лида;3
ЛуАЗ;126
Москвич / АЗЛК;1044
Москвич/АЗЛК;228
РАФ;5
Ретро автомобили;1
СМЗ;3
УАЗ;737
ХТЗ;1
ЧАЗ;1
