Brand;Count
Abarth;0
AC;0
Acura;39
Aito;0
Alfa Romeo;21
Alpheon;0
Alpine;0
ANAIG Quick;0
Aro;0
Ascari;0
Asia;0
Aston Martin;5
Audi;1438
Aurus;0
Austin;0
Avatr;1
Avatr;0
BAIC;0
Baojun;0
BAW;0
Bentley;67
BIO AUTO;0
BMW;1746
BMW Alpina;7
Borgward;0
Brilliance;0
Bristol;0
BUFORI;0
Bugatti;0
Buick;21
BYD;31
Cadillac;32
Callaway;0
Carbodies;0
Caterham;0
Chana;0
Changan;0
ChangFeng;0
Changhe;1
Chery;90
Chevrolet;307
Chrysler;41
Citroёn;20
Cizeta;0
Coggiola;0
CUPRA;6
Dacia;45
Dadi;0
Daewoo;233
Daihatsu;7
Daimler;0
Dallas;0
Datsun;0
Denza;2
Derways;0
De Tomaso;0
Detroit Electric;0
DFSK;0
Dodge;82
DongFeng;6
Doninvest;0
DR MOTOR;0
DS;11
Eagle;0
Faraday Future;0
FAW;3
FCB;0
Ferrari;0
Fiat;158
Fisker;0
Ford;811
Foton;0
FSO;0
Fuqi;0
Gac;0
Geely;50
Genesis;5
Geo;0
GMC;11
Great Wall;17
GTA Motor;0
Hafei;0
Haima;0
Haval;28
Hawtai;0
Hindustan;0
HINO;0
Holden;0
Honda;252
Hongqi;0
HuangHai;0
Huawei;0
Hummer;3
Hyundai;589
IM;1
Ineos;0
Infiniti;108
Innocenti;0
Invicta;0
Ioniq;0
Iran Khodro;0
Isdera;0
Isuzu;3
IVECO;18
JAC;15
Jaguar;93
Jeep;217
Jetour;1
Jiangnan;0
Jinbei;0
JMC;0
Karma;0
KGM;0
Kia;500
Koenigsegg;0
LADA;4
Lamborghini;12
Lancia;3
Land Rover;343
Landwind;0
Leapmotor;1
LEAP MOTOR;0
Letin;2
Lexus;245
Li Auto;0
Lifan;4
Ligier;0
Lincoln;36
Link Tour;0
Lotus;0
LTI;0
Lucid Motors;5
Luxgen;0
Lynk&Co;0
Mahindra;0
Marcos;0
Marlin;0
Marussia;0
Maruti;0
Maserati;18
Maxus;2
Maxus;0
Maxus EV30;0
Maybach;0
Mazda;460
McLaren;0
Mega;0
Mercedes-Benz;1955
Mercury;0
Metrocab;0
MG;23
Minelli;0
MINI;65
Mitsubishi;354
Mitsuoka;0
Monte Carlo;0
Morgan;0
NAVECO;0
NETA;0
NIO;0
Nissan;596
Noble;0
Oldsmobile;0
Opel;562
Pagani;0
Panoz;0
Paykan;0
Perodua;0
Peugeot;381
PGO;0
Plymouth;0
Polestar;8
Polestone;0
Pontiac;0
Porsche;315
Premier;0
Proton;0
Puma;0
Qoros;0
Qvale;0
RAM;3
Ravon;0
Raysince;1
Reliant;0
Renault;696
RIMAC;0
Rivian;9
Roewe;0
Rolls-Royce;15
Ronart;0
Rover;6
Saab;4
Saipa;0
Saleen;0
Samsung;8
Saturn;0
Scion;0
SEAT;74
Shifeng;0
ShuangHuan;0
Skoda;519
Skywell;4
SMA;0
Smart;34
Sou East;0
Spectre;0
SsangYong;46
Subaru;139
Suzuki;116
TagAZ;0
Talbot;0
Tata;0
Tatra;0
Tesla;236
Tianma;0
Tianye;0
Tofas;0
Toyota;700
Trabant;0
TVR;0
Vector;0
Venturi;0
Venucia;0
Volkswagen;1658
Volvo;202
Vortex;0
Voyah;1
Wartburg;1
Weltmeister;2
Wiesmann;0
Wuling;0
Xiaomi;0
Xin Kai;0
XPeng;1
Yuejin;0
Zastava;0
Zeekr;10
Zotye;0
ZX;0
Богдан;4
ВАЗ;481
ВИС;0
ГАЗ;129
ЗАЗ;139
ЗИЛ;0
ИЖ;3
ЛуАЗ;2
Москвич;20
УАЗ;15
