Brand;Count
AC Cars;0
Ace;0
Acura;3
Adler;0
AITO;0
Aixam;0
Alfa Romeo;0
ALPINA;0
Alpine;0
Aro;0
Asia;0
Aston Martin;0
Audi;31
Austin;0
Autobianchi;0
BAIC;0
Barkas;0
BAW;0
Bedford;0
Beijing Auto;0
Bentley;1
BIO AUTO;0
Bitter;0
BMW;36
Brilliance;0
Bristol;0
Bugatti;0
Buick;2
BYD;0
Cadillac;5
Caterham;0
Chana;0
Changan;0
ChangFeng;0
Changhe;0
Chery;5
Chevrolet;9
Chrysler;1
Citroen;7
CityEl;0
Cizeta;0
CUPRA;0
Dacia;3
Dadi;0
Daewoo;3
DAF;0
Daihatsu;1
Daimler;0
Dallas;0
Datsun;0
De Lorean;0
De Tomaso;0
Denza;1
Derways;0
Dethleffs;0
Detroit Electric;0
DiAu;0
DKW;0
Dodge;4
Dong Feng;0
Doninvest;0
Donkervoort;0
DR;0
DS;0
Eagle;0
EXEED;0
FAW;0
Ferrari;0
Fiat;5
Fisker;0
Flybo;0
Ford;29
Foton;0
FSO;0
FSR;0
FUQI;0
GAC;0
Geely;7
Genesis;0
Geo;0
Ginetta;0
GMC;0
Gonow;0
Great Wall;0
Groz;0
Hafei;0
Haima;0
Haval;1
Hindustan;0
HiPhi;0
HMC;0
Holden;0
Honda;12
Hongqi;0
HUABEI;0
HUANGHAI;0
Hummer;0
Hyundai;30
IFA;0
INEOS;0
Infiniti;8
Innocenti;0
Invicta;0
Iran Khodro;0
Isdera;0
Isuzu;0
Iveco;0
JAC;0
Jaguar;0
Jeep;11
Jensen;0
Jetour;0
Jiangnan;0
JINBEI;0
JMC;0
Jonway;0
KABE;0
Karma;0
KGM;0
KIA;24
Knaus;0
Koenigsegg;0
Laffite;0
Lamborghini;0
Lancia;1
Land Rover;16
Landwind;0
LDV;0
Leapmotor;0
Lexus;9
Liebao;0
Lifan;2
Ligier;0
Lincoln;2
Lonsdale;0
Lotus;0
LTI;0
Lucid;0
Luxgen;0
MacNeillie;0
Mahindra;0
Maple;0
Marcos;0
Marlin;0
Marussia;0
Maruti;0
Maserati;2
Maxus;0
Maybach;0
Mazda;18
McLaren;0
Mega;0
MELEX;0
Mercedes;40
Mercury;0
MG;1
Microcar;0
Minelli;0
MINI;3
Mitsubishi;10
Morgan;0
Morris;0
MPM Motors;0
NIO;0
Nissan;39
Noble;0
Nysa;0
Oldsmobile;0
Opel;6
Packard;0
Pagani;0
Panoz;0
Pegaso;0
Perodua;0
Peugeot;10
Plymouth;0
Polestar;0
Pontiac;0
Porsche;5
Premier;0
Proton;1
Qoros;0
Ravon;0
Reliant;0
Renault;18
Rivian;0
Roewe;0
Rolls-Royce;0
Rover;0
Saab;0
Saipa;0
Saleen;0
Samsung;1
Santana;0
Sao;0
Saturn;0
Scion;0
Scout;0
SEAT;1
Secma;0
Selena;0
Shuanghuan;0
Simca;0
Skoda;14
SMA;0
smart;0
SouEast;0
Spectre;0
Spyker;0
SsangYong;1
Startins;0
Subaru;5
Suzuki;5
Talbot;0
Tank;0
Tarpan;0
Tata;0
Tatra;0
Tesla;13
Tianma;0
Togg;0
Toyota;37
Trabant;0
Triumph;0
TUOHE;0
TVR;0
Vauxhall;0
Vega;0
Venturi;0
VinFast;0
Volkswagen;36
Volvo;4
Wanderer;0
Wartburg;0
Westfield;0
Wey;0
Wiesmann;0
Willys;0
Wuling;0
Xiaomi;0
Xinkai;0
XPENG;0
Yugo;0
Zastava;0
ZEEKR;1
Zotye;0
Zuk;0
ZXAuto;0
Богдан;0
ВАЗ;10
ГАЗ;13
Другая;0
ЗАЗ;2
ЗИЛ;0
ЗИС;0
Иж;1
ЛуАЗ;0
Москвич/АЗЛК;4
РАФ;0
СеАЗ/СМЗ;0
ТагАЗ;0
УАЗ;4
Эстония;0
