Brand;Count
acura;4
alfa-romeo;3
audi;28
bentley;0
bmw;27
brilliance;0
buick;2
byd;0
cadillac;1
chery;13
chevrolet;33
chrysler;2
citroen;3
dacia;3
daewoo;16
daihatsu;0
dodge;5
ferrari;0
fiat;11
ford;40
geely;11
gmc;2
great-wall;2
honda;10
hummer;0
hyundai;29
infiniti;0
isuzu;0
jac;0
jaguar;1
jeep;10
kia;18
lancia;1
land-rover;3
lexus;10
lifan;0
lincoln;4
maybach;0
mazda;12
mercedes-benz;21
mercury;0
mini;0
mitsubishi;34
nissan;43
opel;29
peugeot;9
pontiac;0
porsche;1
renault;12
rolls-royce;0
rover;0
saab;1
seat;1
skoda;18
smart;2
ssang-yong;2
subaru;5
suzuki;4
tesla;10
toyota;40
volkswagen;76
volvo;4
moskvich-azlk;6
zaz;19
gaz;11
vaz;51
uaz;1
drugaja-model;19
