brand_name;count
Мода і стиль;3364414
Дитячий світ;3188798
Запчастини;1707669
Хобі, відпочинок і спорт;1678569
Дитячий одяг;1624350
Електроніка;1320541
Дім і сад;1218855
Жіночий одяг;1121026
Автозапчастини;1057779
Одяг для дівчаток;831435
Дитяче взуття;640197
Одяг для хлопчиків;600459
Антикваріат / колекції;585062
Жіноче взуття;579916
Книги / журнали;534394
Чоловічий одяг;500004
Іграшки;416651
Аксесуари;407833
Нерухомість;374181
Верхній одяг;359147
Колекціонування;315072
Чоловіче взуття;305296
Шини, диски і колеса;294163
Кузовні запчастини;270507
Тварини;268818
Спорт / відпочинок;251041
Будівництво / ремонт;245358
Плаття;243225
Комп'ютери та комплектуючі;231271
Посуд / кухонне приладдя;228384
Авто;224251
Телефони та аксесуари;224203
Бізнес та послуги;214989
Одяг для новонароджених;192456
Квартири;192381
Кросівки;188694
Інструменти;183633
Верхній одяг;174588
Сумки;168331
Автошини;166958
Аксесуари для авто;159927
Продаж квартир;150497
Кросівки для міста;148113
Техніка для дому;146737
Інші дитячі товари;145664
Витвори майстрів / рукоділля;140423
Повсякденні сукні;135428
Краса / здоров'я;132438
Двигун;127864
Туфлі;127491
Вело;125158
Техніка для кухні;123474
Предмети інтер'єру;118353
Меблі;112347
Черевики та напівчеревики;111085
Товари для школярів;108751
Електрообладнання;105350
Кросівки;103573
Фари та освітлення;101768
Чоботи, напівчоботи;100212
Аксесуари для телефонів;95512
Светри, кардигани, худі;92139
Ноутбуки та аксесуари;91312
Електроінструмент;90745
Інші кросівки;90251
Аудіотехніка;87593
Інші туфлі;87171
Сад / город;84813
Сумки через плече;84679
Інші черевики та напівчеревики;84455
Легкові автомобілі;83308
Жіноча білизна та купальники;83056
Кофти й светри;82296
Інше;81023
Будинки;80956
Індивідуальний догляд;80223
Деталі салону;79975
Смартфони / мобільні телефони;78654
Комплектуючі та запчастини;78537
Босоніжки, сандалі, в'єтнамки;78465
Пальто;78259
Бампери;78212
Тв / відеотехніка;76252
Собаки;75661
Продаж будинків;75052
Розвиваючі іграшки;74984
Зоотовари;71931
Пуховики і зимові куртки;71848
Ходова частина / підвіска;71159
Інші товари для дому;70489
Трансмісія / КПП та АКПП;69735
Джинси;68569
Освітлення;68300
Робота;67465
Диски;66923
Велосипеди;66031
Мілітарія;64055
Дитячий транспорт;63609
Головні убори;62752
Дрібна побутова техніка;62634
Спортивний одяг;62182
Дитячі меблі;61973
CD / DVD / Платівки;61283
Мото;59680
Спортивний одяг;59383
Футболки та майки;59244
Босоніжки;59100
Запчастини для іншої техніки;58196
Аксесуари й комплектуючі;56479
Ноутбуки;55858
Туризм;55679
Продукти харчування / напої;55370
Дитячі коляски;53661
Живопис;53363
Біжутерія;52305
Фото / відео;51915
Годування;51892
Ігрові фігурки;51842
Пуховики та зимові куртки;51556
Кімнатні рослини;51363
Черевики;51254
Віддам безкоштовно;50237
Інший верхній одяг;50085
Чохли;49712
Передні фари;49644
Колеса в зборі;49156
Вечірні сукні;49137
Кліматичне обладнання;48798
Комерційна нерухомість;48531
М'які іграшки;48225
Інший верхній одяг;46448
Периферійні пристрої;46342
Майки та футболки;45908
Спідниці;45873
Іграшковий транспорт;45321
Будівництво та ремонт;44880
Ювелірні вироби;44695
Ручний інструмент;44633
Ляльки та пупси;43931
Футболки;43826
Шкіряні сумки;43519
Блузи і сорочки;43317
Наручні годинники;43305
Автозвук та мультимедіа;42460
Довгострокова оренда квартир;41884
Опалення;40509
Брюки;40397
Ігри та ігрові приставки;40242
Меблі для вітальні;40237
Джинси;39671
Двигуни у зборі;39588
Фігурки персонажів;38451
Полювання / риболовля;38301
Музичні інструменти;38256
Конструктори;38096
Машинки;37759
М'які тварини;37604
Продаж обладнання для бізнесу;37254
Предмети мистецтва;36908
Навушники та аксесуари;36793
Сантехніка;36679
Телевізори;36605
Двері;36586
Мотозапчастини;36392
Шуби, кожухи;36107
Земля;35971
Продаж землі;35608
Навушники;34825
Букіністика;34197
Сільгосптехніка;34024
Текстиль;34014
Кондиціонер, обігрівач, вентиляція;33809
Паливна система;33573
Інші черевики;32859
Інше електрообладнання;32805
Подарунки;32755
Гальмівна система;32670
Господарський інвентар / побутова хімія;32663
Інші комплектуючі;32332
Сільгосп тварини;32315
Шапки;32309
Електрика;32016
Атлетика / фітнес;31881
Планшети / ел. книги та аксесуари;31794
Настільні комп'ютери;31597
Для весілля;31327
Оренда комерційної нерухомості;31289
Блоки керування;31280
Костюми;31266
Кеди;31165
Задні фари;31120
Вікна / двері / скло / дзеркала;31027
Автоскло;31014
Інші будматеріали;30857
Інша електроніка;30248
Для сільгосптехніки;30010
Туфлі;29639
Парфумерія;29458
Ігрові набори;29419
Купальники;29046
Мотоцикли;28322
Сорочки і теніски;28128
Дублянки;28084
