Brand;Count
Aixam;17
Apex;1
Apollo;1
Aprilia;39
Arctic Cat;10
Argo;1
ASA;1
Bajaj;1
Bellier;1
BENDA;7
BENDA;7
Beta;15
Big Dog;1
Bluroc;1
BMW;145
BOOM;1
Buell;4
Cajero;1
Can;51
Casalini;3
CFMOTO;81
Citroen;1
Comanche;1
CZ;1
Derbi;2
Dnepr;1
Ducati;67
Due;1
ELI Electric;2
Fantic;4
Gas Gas;33
Goes;2
Grecav;2
Harley;150
HISUN;2
Honda;159
Husqvarna;46
Indian;22
Intermoto;2
IZ;2
Jawa;12
Jawa;12
Kawasaki;134
Kayo;1
Keeway;5
KOVE;1
KTM;94
KXD;9
Kymco;8
Lambretta;1
Ligier;8
Linhai;9
Lintex;1
Loncin;9
LYNX;12
Mash;2
Mastiff;?
Microcar;10
Minsk;1
Moto Guzzi;10
Moto Morini;4
MUTT;1
MV Agusta;13
Nicot;1
Nitro Motors;1
NIU;1
Odes;10
Omavalmistatud;1
OSET;2
OSSA;1
Pentora;1
Peugeot;3
Piaggio;6
Pitpro;1
Polaris;43
Powerland;1
QJ Motor;23
Rewaco;1
Rieju;9
Riga;2
Royal Enfield;12
Segway;10
Sherco;3
Silence;3
Skand;1
Ski Doo;12
Stark;2
Stels;3
Super SOCO;5
Sur;3
Suzuki;100
SWM;2
Talaria;7
TGB;3
TM Racing;3
Triumph;49
TRRS;1
TRS;1
Tuula;1
Ultra Motorcross;3
Ural;3
Vespa;6
Viarelli;2
Victory;12
Voge;8
Xiangshuai;1
Yamaha;164
Zontes;4
