Brand,Count
Aiways,1
Alfa Romeo,44
Alpina,2
Aston Martin,9
Audi,1164
Bentley,45
BMW,1615
Buick,2
BYD,16
Cadillac,24
Chevrolet,78
Chrysler,74
Citroen,243
Cupra,54
Dacia,73
Daihatsu,1
Daimler,1
DFSK,2
Dodge,39
DS,3
Ferrari,19
Fiat,57
Fisker,1
Ford,476
GAZ,20
GMC,4
GWM,15
Honda,203
Hummer,1
Hyundai,240
Infiniti,5
Iveco,1
IZ,7
Jaguar,66
Jeep,34
Kia,368
Lada,33
Lamborghini,12
Lancia,22
Land Rover,44
Lexus,146
Lincoln,6
Lotus,2
Lynk & Co,1
Maserati,33
Maxus,5
Maybach,1
Mazda,153
McLaren,7
Mercedes,239
Mercedes,1238
MG,2
Mia Electric,1
MINI,91
Mitsubishi,121
Moskvich,7
Nissan,230
Opel,326
Peugeot,394
Polestar,7
Pontiac,4
Porsche,186
Ram,5
Renault,288
Rolls,2
Rover,2
Saab,44
SEAT,99
Seres,1
Skoda,733
Skywell,2
Smart,12
SsangYong,10
Subaru,147
Suzuki,34
SWM,4
Tesla,115
Toyota,708
Triumph,1
UAZ,1
VAZ,33
Volkswagen,1036
Volvo,790
ZAZ,7
Zimmer,1
