Brand;Count
AC;2
Acura;5
Aixam;2
Alfa Romeo;24
Alpina;0
AMC;0
ARO;0
Asia;1
Aston Martin;0
Audi;597
Bellier;0
Bentley;1
BMW;699
Buick;4
BYD;0
Cadillac;10
Chatenet;0
Chevrolet;66
Chrysler;43
Citroen;141
Cupra;1
Dacia;16
Daewoo;0
Daihatsu;0
Dodge;28
Eagle;1
Excalibur;0
Ferrari;0
Fiat;38
Fisker;1
Ford;230
GMC;2
Honda;92
Hummer;1
Hyundai;69
Infiniti;7
Isuzu;1
Iveco;2
Jaguar;22
Jeep;37
Kia;72
Lamborghini;2
Lancia;2
Land Rover;52
LDV;0
Lexus;64
Lincoln;2
Maserati;4
Maybach;0
Mazda;88
Mercedes-Benz;368
Mercury;0
MG;1
Microcar;0
Mini;33
Mitsubishi;54
Morgan;0
Nissan;134
Oldsmobile;2
Opel;294
Packard;0
Panther;0
Peugeot;169
Plymouth;0
Pontiac;0
Porsche;52
Proton;0
Renault;152
Rolls-Royce;0
Rover;6
Saab;16
Santana;0
Saturn;1
Scion;0
Seat;66
Shuanghuan;1
Skoda;166
Smart;6
SMZ;0
SsangYong;5
Subaru;52
Suzuki;13
Tesla;27
Think;0
Toyota;326
Trabant;0
Triumph;0
Volkswagen;628
Volvo;272
Wartburg;0
ВАЗ;13
ГАЗ;3
ЗАЗ;9
ЛуАЗ;0
Москвич;3
УАЗ;1
