Brand;Count
Volkswagen;2978
BMW;2625
Audi;2018
Opel;1713
Mercedes-Benz;1460
Toyota;1266
Ford;1238
Volvo;1046
Skoda;741
Peugeot;725
Nissan;718
Renault;553
Hyundai;544
Seat;539
Kia;482
Citroen;468
Mazda;330
Subaru;322
Honda;308
Jeep;294
Mitsubishi;245
Chevrolet;211
Land Rover;201
Porsche;197
Lexus;192
Dodge;191
Fiat;169
Suzuki;167
Chrysler;132
MINI;100
Tesla;86
Jaguar;72
Dacia;65
Cupra;63
Alfa Romeo;40
Saab;39
Infiniti;32
Lada;31
Maserati;25
Cadillac;24
Ssangyong;24
Iveco;21
Buick;18
Daihatsu;15
Moskvich;15
Lincoln;14
GAZ;12
Acura;7
Bentley;7
MG;7
Pontiac;7
DS Automobiles;6
GMC;6
Isuzu;6
Lancia;6
Rolls-Royce;4
Rover;4
ZAZ;4
Aixam;3
Alpina;3
Ligier;3
Mercury;3
Polestar;3
Aston Martin;2
Daewoo;2
Ferrari;2
Lamborghini;2
Man;2
Maybach;2
McLaren;2
Microcar;2
Tata;2
Abarth;1
Casalini;1
Hongqi;1
JAC;1
Lotus;1
LuAZ;1
Piaggio;1
Scion;1
