Brand;Count
Автосалоны;6
Alfa Romeo;8
Aston martin;1
Audi;289
Bentley;11
BAIC;2
BMW;350
Cadillac;1
Chevrolet;6
Chrysler;5
Citroen;48
Cupra;77
Dacia;14
Dodge;2
DFSK;1
DS Automobiles;1
Fiat;14
Ford;73
Forthing;0
Gaz;1
GWM;6
Honda;22
Hyundai;89
Infiniti;3
Jaguar;28
JAC;1
Jeep;15
Kia;43
Lada;1
Lamborghini;1
Lancia;1
Land Rover;48
Lexus;25
Maserati;2
Maybach;1
Mazda;19
McLaren;1
Mercedes-Benz;221
MINI;11
Mitsubishi;12
Nissan;59
Opel;115
Peugeot;83
Porsche;56
Renault;31
Saab;2
Seat;46
Skoda;215
SsangYong;1
Subaru;34
Suzuki;8
Tesla;61
Toyota;109
Volkswagen;275
Volvo;233
