Brand;Count
Apollo;1
Aprilia;41
Arctic Cat;10
Argo;1
ASA;1
Bajaj;1
Barton;1
Bellier;2
BENDA;7
Benelli;17
Beta;14
Big Dog;1
Bluroc;2
BMW;148
BOOM;1
Buell;4
Cajero;1
Can-Am;49
Casalini;6
CFMOTO;81
Citroen;1
Comanche;1
CZ;1
Derbi;1
Dnepr;1
Ducati;66
Due;1
ELI Electric;2
Fantic;6
Gas Gas;32
Goes;2
Grecav;2
Harley-Davidson;146
HISUN;1
Honda;157
Husaberg;1
Husqvarna;44
Indian;21
Intermoto;2
IZ;3
Jawa;10
John Deere;2
Kawasaki;140
Kayo;1
Keeway;5
KOVE;1
KTM;93
KXD;9
Kymco;8
Lambretta;1
Ligier;9
Linhai;8
Lintex;1
Loncin;9
LYNX;10
Mash;2
Microcar;10
Minsk;1
Moto Guzzi;10
Moto Morini;4
MUTT;1
MV Agusta;13
Nicot;1
Nitro Motors;1
NIU;1
Odes;12
Omavalmistatud;1
OSET;2
OSSA;1
Pentora;1
Peugeot;3
Piaggio;6
Pitpro;1
Polaris;43
Powerland;1
QJ Motor;24
Rewaco;1
Rieju;10
Riga;2
Royal Enfield;11
Segway;10
Sherco;3
Silence;3
Skand;1
Ski Doo;11
Stark;2
Stels;3
Super SOCO;5
Sur-Ron;3
Suzuki;101
SWM;2
Talaria;6
TGB;3
TM Racing;3
Triumph;52
TRRS;1
Tuula;1
Ultra Motorcross;3
Ural;3
Vespa;4
Viarelli;2
Victory;12
Voge;8
Xiangshuai;1
Yamaha;164
Zontes;5
