name,slug,url,count,status,http_status
Acura,acura,https://ogolosha.ua/transport/legkovye-avtomobili/acura/,4,ok,200
Alfa Romeo,alfa-romeo,https://ogolosha.ua/transport/legkovye-avtomobili/alfa-romeo/,3,ok,200
Audi,audi,https://ogolosha.ua/transport/legkovye-avtomobili/audi/,28,ok,200
Bentley,bentley,https://ogolosha.ua/transport/legkovye-avtomobili/bentley/,,not_found,200
BMW,bmw,https://ogolosha.ua/transport/legkovye-avtomobili/bmw/,28,ok,200
Brilliance,brilliance,https://ogolosha.ua/transport/legkovye-avtomobili/brilliance/,,not_found,200
Buick,buick,https://ogolosha.ua/transport/legkovye-avtomobili/buick/,2,ok,200
BYD,byd,https://ogolosha.ua/transport/legkovye-avtomobili/byd/,,not_found,200
Cadillac,cadillac,https://ogolosha.ua/transport/legkovye-avtomobili/cadillac/,1,ok,200
Chery,chery,https://ogolosha.ua/transport/legkovye-avtomobili/chery/,13,ok,200
Chevrolet,chevrolet,https://ogolosha.ua/transport/legkovye-avtomobili/chevrolet/,33,ok,200
Chrysler,chrysler,https://ogolosha.ua/transport/legkovye-avtomobili/chrysler/,2,ok,200
Citroen,citroen,https://ogolosha.ua/transport/legkovye-avtomobili/citroen/,4,ok,200
Dacia,dacia,https://ogolosha.ua/transport/legkovye-avtomobili/dacia/,3,ok,200
Daewoo,daewoo,https://ogolosha.ua/transport/legkovye-avtomobili/daewoo/,15,ok,200
Daihatsu,daihatsu,https://ogolosha.ua/transport/legkovye-avtomobili/daihatsu/,,not_found,200
Dodge,dodge,https://ogolosha.ua/transport/legkovye-avtomobili/dodge/,5,ok,200
Ferrari,ferrari,https://ogolosha.ua/transport/legkovye-avtomobili/ferrari/,,not_found,200
Fiat,fiat,https://ogolosha.ua/transport/legkovye-avtomobili/fiat/,11,ok,200
Ford,ford,https://ogolosha.ua/transport/legkovye-avtomobili/ford/,45,ok,200
Geely,geely,https://ogolosha.ua/transport/legkovye-avtomobili/geely/,11,ok,200
GMC,gmc,https://ogolosha.ua/transport/legkovye-avtomobili/gmc/,2,ok,200
Great Wall,great-wall,https://ogolosha.ua/transport/legkovye-avtomobili/great-wall/,2,ok,200
Honda,honda,https://ogolosha.ua/transport/legkovye-avtomobili/honda/,10,ok,200
Hummer,hummer,https://ogolosha.ua/transport/legkovye-avtomobili/hummer/,,not_found,200
Hyundai,hyundai,https://ogolosha.ua/transport/legkovye-avtomobili/hyundai/,29,ok,200
Infiniti,infiniti,https://ogolosha.ua/transport/legkovye-avtomobili/infiniti/,,not_found,200
Isuzu,isuzu,https://ogolosha.ua/transport/legkovye-avtomobili/isuzu/,,not_found,200
