Brand;Count
Alfa Romeo;52
Audi;2436
BMW;3474
Cadillac;16
Chevrolet;106
Chrysler;135
Citroen;442
Cupra;48
Dacia;128
Dodge;64
Fiat;136
Ford;989
Honda;299
Hyundai;444
Infiniti;26
Jaguar;105
Jeep;152
Kia;323
Lancia;29
Land Rover;283
Lexus;250
Mazda;198
Mercedes;1575
Mini;159
Mitsubishi;199
Nissan;606
Opel;1373
Peugeot;654
Porsche;209
Renault;722
Saab;34
Seat;221
Skoda;695
Smart;18
SsangYong;19
Subaru;196
Suzuki;66
Tesla;108
Toyota;1460
Volkswagen;2985
Volvo;2197
Ваз;54
Газ;34
Москвич;19
Другие марки;85
Ретро автомобили;59
Спортивные машины;43
Тюнингованые автомобили;6
Эксклюзивные автомашины;41
Электромобили;602
Обмен легковых авто;494
Авторемонт и обслуживание;5401
Автоэвакуация;895
Аренда автомобилей;3305
Запчасти и аксессуары;57668
Прицепы и трейлеры;1069
С дефектами или после аварии;948
Транспорт для инвалидов;216
Тюнинг;251
Шины, резина;19150
