Brand;Count
Alfa Romeo;62
Audi;2642
BMW;3783
Chevrolet;104
Chrysler;125
Citroen;465
Cupra;45
Dacia;120
Dodge;62
Fiat;152
Ford;1049
Honda;351
Hyundai;456
Infiniti;24
Jaguar;103
Jeep;171
Kia;325
Lancia;22
Land Rover;283
Lexus;286
Mazda;216
Mercedes;1610
Mini;179
Mitsubishi;223
Nissan;627
Opel;1366
Peugeot;680
Porsche;196
Renault;746
Saab;47
Seat;236
Skoda;717
Smart;25
SsangYong;20
Subaru;222
Suzuki;67
Tesla;98
Toyota;1553
Volkswagen;3207
Volvo;2339
Ваз;72
Газ;52
Москвич;19
Другие марки;95
Ретро автомобили;101
Спортивные машины;45
Тюнингованые автомобили;6
Эксклюзивные автомашины;59
Электромобили;616
Обмен легковых авто;520
Авторемонт и обслуживание;5522
Автоэвакуация;741
Аренда автомобилей;3247
Запчасти и аксессуары;55194
Прицепы и трейлеры;1006
С дефектами или после аварии;1034
Транспорт для инвалидов;209
Тюнинг;291
Шины, резина;15674
