brand,model,count,example
honda,cr-v,5,https://automoto.com.lv/ru/avto?page=14
volkswagen,t-roc,5,https://automoto.com.lv/ru/avto?page=41
volkswagen,t-cross,5,https://automoto.com.lv/ru/avto?page=42
mercedes-benz,c-220,3,https://automoto.com.lv/ru/avto?page=10
mercedes-benz,e-200,3,https://automoto.com.lv/ru/avto?page=22
mercedes-benz,clc-220,2,https://automoto.com.lv/ru/avto?page=6
mazda,cx-3,2,https://automoto.com.lv/ru/avto?page=21
ford,c-max,2,https://automoto.com.lv/ru/avto?page=27
toyota,c-hr,2,https://automoto.com.lv/ru/avto?page=30
mercedes-benz,e-class,2,https://automoto.com.lv/ru/avto?page=30
mini,cooper-s,1,https://automoto.com.lv/ru/avto
mercedes-benz,gl-class,1,https://automoto.com.lv/ru/avto
jaguar,f-pace,1,https://automoto.com.lv/ru/avto?page=12
nissan,x-trail,1,https://automoto.com.lv/ru/avto?page=15
saab,9-5,1,https://automoto.com.lv/ru/avto?page=15
mercedes-benz,cls-class,1,https://automoto.com.lv/ru/avto?page=20
audi,e-tron,1,https://automoto.com.lv/ru/avto?page=20
ford,s-max,1,https://automoto.com.lv/ru/avto?page=21
mercedes-benz,gls-class,1,https://automoto.com.lv/ru/avto?page=24
mercedes-benz,c-270,1,https://automoto.com.lv/ru/avto?page=32
mercedes-benz,c-320,1,https://automoto.com.lv/ru/avto?page=32
saab,9-3,1,https://automoto.com.lv/ru/avto?page=40
mazda,cx-30,1,https://automoto.com.lv/ru/avto?page=42
mercedes-benz,a-250,1,https://automoto.com.lv/ru/avto?page=43
fiat,500-x,1,https://automoto.com.lv/ru/avto?page=44
lexus,nx-300,1,https://automoto.com.lv/ru/avto?page=45
mercedes-benz,gl-420,1,https://automoto.com.lv/ru/avto?page=48
